State,Total Delivered,Total Administered,Percentage 
Alaska,271550,199151,73.33861167
Alabama,1032175,672038,65.10892048
Arkansas,664225,490737,73.88113967
American Samoa,29450,16269,55.24278438
Arizona,1396475,1202770,86.12900338
Bureau of Prisons,45725,49050,107.2717332
California,8722400,6496140,74.47652022
Colorado,1282300,1053041,82.12126647
Connecticut,922075,767183,83.20180029
District of Columbia,193900,130437,67.27024239
Dept of Defense,1146200,791494,69.0537428
Delaware,189050,159845,84.5517059
Florida,4700950,3819224,81.24366351
Federated States of Micronesia,30000,11119,37.06333333
Georgia,2145525,1569216,73.13902192
Guam,51300,42671,83.17933723
Hawaii,320950,247392,77.08116529
Iowa,648600,507650,78.26857848
Idaho,336650,278474,82.71914451
Indian Health Svc,698000,401516,57.52378223
Illinois,2706400,2037388,75.28037245
Indiana,1452900,1125976,77.4985202
Kansas,581975,417825,71.79432106
Kentucky,950600,726168,76.39049022
Louisiana,928425,795511,85.68392708
Massachusetts,1526150,1214821,79.60036694
Maryland,1249925,930567,74.44982699
Maine,321850,242445,75.32856921
Marshall Islands,21000,6760,32.19047619
Michigan,2174800,1718790,79.03209491
Minnesota,1200250,957275,79.75630077
Missouri,1144775,915475,79.96986307
Northern Mariana Islands,29650,15112,50.96795953
Mississippi,616050,438364,71.15721127
Montana,208225,190070,91.28106615
North Carolina,2119250,1782267,84.0989501
North Dakota,163150,156751,96.07784248
Nebraska,427000,305057,71.44192037
New Hampshire,321625,226863,70.53649436
New Jersey,1790200,1542174,86.14534689
New Mexico,454450,456034,100.3485532
Nevada,593275,466981,78.7124015
New York State,4022525,3253874,80.89133069
Ohio,2402050,1861434,77.49355759
Oklahoma,816650,700440,85.76991367
Oregon,878600,708570,80.64762122
Pennsylvania,2731050,2002786,73.33391919
Puerto Rico,733200,408058,55.65439171
Rhode Island,234500,159931,68.20085288
Republic of Palau,9200,5314,57.76086957
South Carolina,939350,778113,82.83525842
South Dakota,197050,171175,86.86881502
Tennessee,1410500,1014351,71.91428571
Texas,5258675,4333726,82.41098756
Utah,618325,551742,89.23171471
Virginia,1714800,1503786,87.69454164
Veterans Health,2111750,1773677,83.99086066
Virgin Islands,26425,13648,51.64806055
Vermont,151350,118184,78.08655434
Washington,1500325,1255764,83.69946512
Wisconsin,1243125,1040145,83.67179487
West Virginia,441500,403532,91.4002265
Wyoming,127075,105426,82.96360417
