State,Administered,Percentage ,id,Popu,less18per,f18t29per,f30t39per,f40t49per,f50t64per,f65t74per,f75pper,less18,f18t29,f30t39,f40t49,f50t64,f65t74,f75p,less18D1per,f18t29D1per,f30t39D1per,f40t49D1per,f50t64D1per,f65t74D1per,f75pD1per,less18D1,f18t29D1,f30t39D1,f40t49D1,f50t64D1,f65t74D1,f75pD1,less18D2per,f18t29D2per,f30t39D2per,f40t49D2per,f50t64D2per,f65t74D2per,f75pD2per,less18D2,f18t29D2,f30t39D2,f40t49D2,f50t64D2,f65t74D2,f75pD2
Alabama,672038,13.70615223,1,4903185,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,396.50242,47567.58418,70414.09938,73385.81056,127699.2153,168020.3503,184550.484,0.76,0.63,0.61,0.62,0.64,0.72,0.67,301.3418392,29967.57803,42952.60062,45499.20255,81727.49778,120974.6522,123648.8243,0.24,0.37,0.39,0.38,0.36,0.28,0.33,95.1605808,17600.00615,27461.49876,27886.60801,45971.7175,47045.69809,60901.65972
Alaska,199151,27.22334238,2,731545,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,117.49909,14096.12545,20866.43658,21747.07019,37842.24467,49790.96537,54689.48696,0.76,0.63,0.61,0.62,0.64,0.72,0.67,89.2993084,8880.559035,12728.52631,13483.18352,24219.03659,35849.49507,36641.95626,0.24,0.37,0.39,0.38,0.36,0.28,0.33,28.1997816,5215.566417,8137.910266,8263.886674,13623.20808,13941.4703,18047.5307
Arizona,1202770,16.52447815,4,7278717,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,709.6343,85133.37523,126022.5855,131341.1613,228547.7684,300711.9192,330296.4797,0.76,0.63,0.61,0.62,0.64,0.72,0.67,539.322068,53634.02639,76873.77716,81431.52001,146270.5718,216512.5818,221298.6414,0.24,0.37,0.39,0.38,0.36,0.28,0.33,170.312232,31499.34883,49148.80835,49909.6413,82277.19661,84199.33738,108997.8383
Arkansas,490737,16.26139405,5,3017804,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,289.53483,34734.90124,51417.93156,53587.94074,93248.78921,122692.1731,134762.8421,0.76,0.63,0.61,0.62,0.64,0.72,0.67,220.0464708,21882.98778,31364.93825,33224.52326,59679.2251,88338.36466,90291.10419,0.24,0.37,0.39,0.38,0.36,0.28,0.33,69.4883592,12851.91346,20052.99331,20363.41748,33569.56412,34353.80848,44471.73789
California,6496140,16.44083655,6,39512223,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,3832.7226,459803.8895,680645.8081,709371.3442,1234382.55,1624139.883,1783925.583,0.76,0.63,0.61,0.62,0.64,0.72,0.67,2912.869176,289676.4504,415193.9429,439810.2334,790004.8322,1169380.716,1195230.141,0.24,0.37,0.39,0.38,0.36,0.28,0.33,919.853424,170127.4391,265451.8652,269561.1108,444377.7181,454759.1672,588695.4425
Colorado,1053041,18.28597456,8,5758736,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,621.29419,74535.39295,110334.4359,114990.9192,200096.5858,263277.2518,289178.9247,0.76,0.63,0.61,0.62,0.64,0.72,0.67,472.1835844,46957.29756,67304.0059,71294.36989,128061.8149,189559.6213,193749.8796,0.24,0.37,0.39,0.38,0.36,0.28,0.33,149.1106056,27578.09539,43030.43,43696.54928,72034.7709,73717.6305,95429.04516
Connecticut,767183,21.51812743,9,3565287,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,452.63797,54302.05127,80383.10335,83775.53993,145778.4635,191808.1365,210678.5538,0.76,0.63,0.61,0.62,0.64,0.72,0.67,344.0048572,34210.2923,49033.69304,51940.83476,93298.21666,138101.8583,141154.6311,0.24,0.37,0.39,0.38,0.36,0.28,0.33,108.6331128,20091.75897,31349.41031,31834.70517,52480.24687,53706.27821,69523.92277
Delaware,159845,16.41516836,10,973764,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,94.30855,11314.00381,16748.07335,17454.89822,30373.40309,39963.83076,43895.54179,0.76,0.63,0.61,0.62,0.64,0.72,0.67,71.674498,7127.822401,10216.32474,10822.0369,19438.97798,28773.95815,29410.013,0.24,0.37,0.39,0.38,0.36,0.28,0.33,22.634052,4186.18141,6531.748605,6632.861323,10934.42511,11189.87261,14485.52879
District of Columbia,130437,18.48206657,11,705749,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,76.95783,9232.473428,13666.79248,14243.57696,24785.35818,32611.35596,35819.71776,0.76,0.63,0.61,0.62,0.64,0.72,0.67,58.4879508,5816.458259,8336.74341,8831.017714,15862.62924,23480.17629,23999.2109,0.24,0.37,0.39,0.38,0.36,0.28,0.33,18.4698792,3416.015168,5330.049065,5412.559244,8922.728946,9131.179668,11820.50686
Florida,3819224,17.78224587,12,21477737,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,2253.34216,270328.8491,400166.6845,417055.0608,725720.7297,954867.6629,1048809.201,0.76,0.63,0.61,0.62,0.64,0.72,0.67,1712.540042,170307.175,244101.6775,258574.1377,464461.267,687504.7173,702702.1645,0.24,0.37,0.39,0.38,0.36,0.28,0.33,540.8021184,100021.6742,156065.0069,158480.9231,261259.4627,267362.9456,346107.0363
