State,Administered,Percentage ,id,Popu,Fper,Mper,F,M,FD1per,MD1per,FD1,MD1,FD2per,MD2per,FD2,MD2
Alabama,672038,13.70615223,1,4903185,0.585884073,0.414115927,393736.3607,278301.6392,0.66,0.68,259865.9981,189245.1147,0.34,0.32,133870.3626,89056.52455
Alaska,199151,27.22334238,2,731545,0.585884073,0.414115927,116679.399,82471.60094,0.66,0.68,77008.40337,56080.68864,0.34,0.32,39670.99567,26390.9123
Arizona,1202770,16.52447815,4,7278717,0.585884073,0.414115927,704683.7866,498086.2133,0.66,0.68,465091.2992,338698.625,0.34,0.32,239592.4874,159387.5882
Arkansas,490737,16.26139405,5,3017804,0.585884073,0.414115927,287514.9924,203222.0076,0.66,0.68,189759.895,138190.9651,0.34,0.32,97755.09741,65031.04242
California,6496140,16.44083655,6,39512223,0.585884073,0.414115927,3805984.963,2690155.037,0.66,0.68,2511950.075,1829305.425,0.34,0.32,1294034.887,860849.6118
Colorado,1053041,18.28597456,8,5758736,0.585884073,0.414115927,616959.9502,436081.0497,0.66,0.68,407193.5671,296535.1138,0.34,0.32,209766.3831,139545.9359
Connecticut,767183,21.51812743,9,3565287,0.585884073,0.414115927,449480.3009,317702.6991,0.66,0.68,296656.9986,216037.8354,0.34,0.32,152823.3023,101664.8637
Delaware,159845,16.41516836,10,973764,0.585884073,0.414115927,93650.63966,66194.36032,0.66,0.68,61809.42218,45012.16502,0.34,0.32,31841.21749,21182.1953
District of Columbia,130437,18.48206657,11,705749,0.585884073,0.414115927,76420.96084,54016.03914,0.66,0.68,50437.83416,36730.90662,0.34,0.32,25983.12669,17285.13253
Florida,3819224,17.78224587,12,21477737,0.585884073,0.414115927,2237622.513,1581601.486,0.66,0.68,1476830.859,1075489.011,0.34,0.32,760791.6545,506112.4757
Georgia,1569216,14.77963155,13,10617423,0.585884073,0.414115927,919378.6617,649837.3382,0.66,0.68,606789.9167,441889.39,0.34,0.32,312588.745,207947.9482
Hawaii,247392,17.4727659,15,1415872,0.585884073,0.414115927,144943.0326,102448.9674,0.66,0.68,95662.40152,69665.29781,0.34,0.32,49280.63109,32783.66956
Idaho,278474,15.5827572,16,1787065,0.585884073,0.414115927,163153.4814,115320.5186,0.66,0.68,107681.2977,78417.95265,0.34,0.32,55472.18367,36902.56595
Illinois,2037388,16.07809959,17,12671821,0.585884073,0.414115927,1193673.18,843714.8199,0.66,0.68,787824.2988,573726.0775,0.34,0.32,405848.8812,269988.7424
Indiana,1125976,16.72518378,18,6732219,0.585884073,0.414115927,659691.4051,466284.5948,0.66,0.68,435396.3274,317073.5245,0.34,0.32,224295.0777,149211.0703
Iowa,507650,16.08997582,19,3155070,0.585884073,0.414115927,297424.0497,210225.9502,0.66,0.68,196299.8728,142953.6462,0.34,0.32,101124.1769,67272.30408
Kansas,417825,14.3419144,20,2913314,0.585884073,0.414115927,244797.0128,173027.9871,0.66,0.68,161566.0285,117659.0312,0.34,0.32,83230.98437,55368.95588
Kentucky,726168,16.25383057,21,4467673,0.585884073,0.414115927,425450.2656,300717.7343,0.66,0.68,280797.1753,204488.0593,0.34,0.32,144653.0903,96229.67499
Louisiana,795511,17.11220157,22,4648794,0.585884073,0.414115927,466077.2249,329433.775,0.66,0.68,307610.9684,224014.967,0.34,0.32,158466.2565,105418.808
Maine,242445,18.0362175,23,1344212,0.585884073,0.414115927,142044.6641,100400.3359,0.66,0.68,93749.47831,68272.22839,0.34,0.32,48295.1858,32128.10748
Maryland,930567,15.39226357,24,6045680,0.585884073,0.414115927,545204.3843,385362.6157,0.66,0.68,359834.8936,262046.5786,0.34,0.32,185369.4906,123316.037
Massachusetts,1214821,17.62525167,25,6892503,0.585884073,0.414115927,711744.2756,503076.7243,0.66,0.68,469751.2219,342092.1725,0.34,0.32,241993.0537,160984.5518
Michigan,1718790,17.21051979,26,9986857,0.585884073,0.414115927,1007011.686,711778.3138,0.66,0.68,664627.7128,484009.2534,0.34,0.32,342383.9732,227769.0604
Minnesota,957275,16.97406852,27,5639632,0.585884073,0.414115927,560852.1761,396422.8238,0.66,0.68,370162.4362,269567.5202,0.34,0.32,190689.7399,126855.3036
Mississippi,438364,14.72923567,28,2976149,0.585884073,0.414115927,256830.4858,181533.5141,0.66,0.68,169508.1206,123442.7896,0.34,0.32,87322.36518,58090.72452
Missouri,915475,14.9162646,29,6137428,0.585884073,0.414115927,536362.2218,379112.7781,0.66,0.68,353999.0664,257796.6891,0.34,0.32,182363.1554,121316.089
Montana,190070,17.78386157,30,1068778,0.585884073,0.414115927,111358.9858,78711.01421,0.66,0.68,73496.93061,53523.48966,0.34,0.32,37862.05516,25187.52455
Nebraska,305057,15.77004438,31,1934408,0.585884073,0.414115927,178728.0377,126328.9623,0.66,0.68,117960.5049,85903.69435,0.34,0.32,60767.53281,40425.26793
Nevada,466981,15.16095289,32,3080156,0.585884073,0.414115927,273596.7303,193384.2696,0.66,0.68,180573.842,131501.3033,0.34,0.32,93022.88832,61882.96628
New Hampshire,226863,16.68464843,33,1359711,0.585884073,0.414115927,132915.4185,93947.5815,0.66,0.68,87724.17619,63884.35542,0.34,0.32,45191.24228,30063.22608
New Jersey,1542174,17.36254235,34,8882190,0.585884073,0.414115927,903535.1846,638638.8153,0.66,0.68,596333.2218,434274.3944,0.34,0.32,307201.9627,204364.4209
New Mexico,456034,21.74874537,35,2096829,0.585884073,0.414115927,267183.0574,188850.9426,0.66,0.68,176340.8179,128418.6409,0.34,0.32,90842.23951,60432.30162
New York,3253874,16.82738,36,"1,93,36,776",0.585884073,0.414115927,1906392.952,1347481.047,0.66,0.68,1258219.349,916287.1121,0.34,0.32,648173.6038,431193.9351
North Carolina,1782267,16.99325635,37,10488084,0.585884073,0.414115927,1044201.849,738065.1505,0.66,0.68,689173.2205,501884.3023,0.34,0.32,355028.6288,236180.8482
North Dakota,156751,20.56932376,38,762062,0.585884073,0.414115927,91837.91434,64913.08564,0.66,0.68,60613.02347,44140.89824,0.34,0.32,31224.89088,20772.18741
Ohio,1861434,15.92452798,39,11689100,0.585884073,0.414115927,1090584.534,770849.4661,0.66,0.68,719785.7923,524177.6369,0.34,0.32,370798.7415,246671.8291
Oklahoma,700440,17.70141859,40,3956971,0.585884073,0.414115927,410376.6402,290063.3598,0.66,0.68,270848.5825,197243.0846,0.34,0.32,139528.0577,92820.27513
Oregon,708570,16.79976727,41,4217737,0.585884073,0.414115927,415139.8777,293430.1223,0.66,0.68,273992.3193,199532.4831,0.34,0.32,141147.5584,93897.63912
Pennsylvania,2002786,15.64433464,42,12801989,0.585884073,0.414115927,1173400.419,829385.5806,0.66,0.68,774444.2767,563982.1948,0.34,0.32,398956.1425,265403.3858
Rhode Island,159931,15.09693107,44,1059361,0.585884073,0.414115927,93701.0257,66229.97429,0.66,0.68,61842.67696,45036.38252,0.34,0.32,31858.34874,21193.59177
South Carolina,778113,15.11276408,45,5148714,0.585884073,0.414115927,455884.0138,322228.9862,0.66,0.68,300883.4491,219115.7106,0.34,0.32,155000.5647,103113.2756
South Dakota,171175,19.34926339,46,884659,0.585884073,0.414115927,100288.7062,70886.29377,0.66,0.68,66190.5461,48202.67976,0.34,0.32,34098.16011,22683.61401
Tennessee,1014351,14.85320187,47,6829174,0.585884073,0.414115927,594292.0954,420058.9045,0.66,0.68,392232.783,285640.055,0.34,0.32,202059.3124,134418.8494
Texas,4333726,14.94600561,48,28995881,0.585884073,0.414115927,2539061.041,1794664.959,0.66,0.68,1675780.287,1220372.172,0.34,0.32,863280.7538,574292.7869
Utah,551742,17.20989483,49,3205958,0.585884073,0.414115927,323256.8503,228485.1497,0.66,0.68,213349.5212,155369.9018,0.34,0.32,109907.3291,73115.2479
Vermont,118184,18.94007747,50,623989,0.585884073,0.414115927,69242.1233,48941.87669,0.66,0.68,45699.80138,33280.47615,0.34,0.32,23542.32192,15661.40054
Virginia,1503786,17.61797964,51,8535519,0.585884073,0.414115927,881044.2668,622741.7331,0.66,0.68,581489.2161,423464.3785,0.34,0.32,299555.0507,199277.3546
Washington,1255764,16.49089488,53,7614893,0.585884073,0.414115927,735732.1272,520031.8727,0.66,0.68,485583.2039,353621.6734,0.34,0.32,250148.9232,166410.1993
West Virginia,403532,22.51667971,54,1792147,0.585884073,0.414115927,236422.9718,167109.0282,0.66,0.68,156039.1614,113634.1392,0.34,0.32,80383.81041,53474.88902
Wisconsin,1040145,17.86443608,55,5822434,0.585884073,0.414115927,609404.3892,430740.6107,0.66,0.68,402206.8969,292903.6153,0.34,0.32,207197.4923,137836.9954
Wyoming,105426,18.2158722,56,578759,0.585884073,0.414115927,61767.41429,43658.5857,0.66,0.68,40766.49343,29687.83828,0.34,0.32,21000.92086,13970.74742
Federated States of Micronesia,11119,10.6434,64,"1,04,468",,,,,,,,,,,,
Guam,42671,27.27887,66,"1,68,801",,,,,,,,,,,,
Marshall Islands,6760,10.9032258,68,62000,,,,,,,,,,,,
Northern Mariana Islands,15112,29.25337,69,"	51,659",,,,,,,,,,,,
Puerto Rico,408058,12.77699116,72,3193694,,,,,,,,,,,,
