Province_State,Date,Doses_alloc,Doses_shipped,Doses_admin,Stage_One_Doses,Stage_Two_Doses,TotalDoses,No,Month
Alabama,18-12-2020,40950,,5181,5181,,5181,1,12
Alabama,19-12-2020,40950,,5181,5181,,5181,2,12
Alabama,20-12-2020,40950,,5181,5181,,5181,3,12
Alabama,21-12-2020,40950,,5181,5181,,5181,4,12
Alabama,22-12-2020,40950,,5181,5181,,5181,5,12
Alabama,23-12-2020,40950,,5181,5181,,5181,6,12
Alabama,24-12-2020,40950,,5181,5181,,5181,7,12
Alabama,25-12-2020,40950,,5181,5181,,5181,8,12
Alabama,26-12-2020,40950,,5181,5181,,5181,9,12
Alabama,27-12-2020,40950,,5181,5181,,5181,10,12
Alabama,28-12-2020,128175,,20354,20354,,20354,11,12
Alabama,29-12-2020,128175,,20354,20354,,20354,12,12
Alabama,30-12-2020,128175,,20354,20354,,20354,13,12
Alabama,31-12-2020,128175,,20354,20354,,20354,14,12
Alabama,01-01-2021,128175,,20354,20354,,20354,15,1
Alabama,02-01-2021,226250,,42810,20354,,20354,16,1
Alabama,03-01-2021,226250,,42810,20354,,20354,17,1
Alabama,04-01-2021,226250,,42810,20354,,20354,18,1
Alabama,05-01-2021,226250,,42810,20354,,20354,19,1
Alabama,06-01-2021,226250,,42810,20354,,20354,20,1
Alabama,07-01-2021,226250,,42810,20354,,20354,21,1
Alabama,08-01-2021,226250,,42810,20354,,20354,22,1
Alabama,09-01-2021,226250,,42810,20354,,20354,23,1
Alabama,10-01-2021,226250,,42810,20354,,20354,24,1
Alabama,11-01-2021,271925,,87138,20354,,20354,25,1
Alabama,12-01-2021,271925,,87138,20354,,20354,26,1
Alabama,13-01-2021,271925,,87138,20354,,20354,27,1
Alabama,14-01-2021,271925,,87138,20354,,20354,28,1
Alabama,15-01-2021,640150,370575,130394,20354,,20354,29,1
Alabama,16-01-2021,640150,370575,130394,20354,,20354,30,1
Alabama,17-01-2021,640150,370575,130394,20354,,20354,31,1
Alabama,18-01-2021,640150,379875,148685,20354,,20354,32,1
Alabama,19-01-2021,640150,379875,148685,20354,,20354,33,1
Alabama,20-01-2021,640150,446150,158116,20354,,20354,34,1
Alabama,21-01-2021,640150,446150,184618,20354,,20354,35,1
Alabama,22-01-2021,640150,446150,202643,20354,,20354,36,1
Alabama,23-01-2021,640150,502950,249356,20354,,20354,37,1
Alabama,24-01-2021,640150,502950,249356,20354,,20354,38,1
Alabama,25-01-2021,640150,502950,249356,20354,,20354,39,1
Alabama,26-01-2021,640150,521225,287002,20354,,20354,40,1
Alabama,27-01-2021,640150,523000,298017,20354,,20354,41,1
Alabama,28-01-2021,640150,736700,314241,20354,,20354,42,1
Alabama,29-01-2021,640150,764125,339756,20354,,20354,43,1
Alabama,30-01-2021,640150,772275,361376,20354,,20354,44,1
Alabama,31-01-2021,640150,772275,361376,20354,,20354,45,1
Alabama,01-02-2021,640150,772275,361376,20354,,20354,46,2
Alabama,02-02-2021,640150,772275,403509,20354,,20354,47,2
Alabama,03-02-2021,640150,798125,420235,20354,,20354,48,2
Alabama,04-02-2021,640150,808925,440579,20354,,20354,49,2
Alabama,05-02-2021,640150,923750,459674,20354,,20354,50,2
Alabama,06-02-2021,640150,923750,483290,20354,,20354,51,2
Alabama,07-02-2021,640150,923750,483290,20354,,20354,52,2
Alabama,08-02-2021,640150,923750,483290,20354,,20354,53,2
Alabama,09-02-2021,,954225,556337,378514,88453,466967,54,2
Alabama,10-02-2021,,954225,556337,395196,95033,490229,55,2
Alabama,11-02-2021,640150,993715,582273,314026,104362,418388,56,2
Alabama,12-02-2021,640150,993715,612035,438081,114306,552387,57,2
Alabama,13-02-2021,640150,993715,641924,455097,125553,580650,58,2
Alabama,14-02-2021,640150,993715,641924,467032,133029,600061,59,2
Alabama,15-02-2021,640150,993715,641924,474065,137032,611097,60,2
Alabama,16-02-2021,640150,993715,641924,474065,137032,611097,61,2
Alabama,17-02-2021,640150,1015775,714446,495465,152781,648246,62,2
Alabama,18-02-2021,,1032175,728955,494424,158246,652670,63,2
Alabama,19-02-2021,,1032175,752524,505660,169339,674999,64,2
Alabama,20-02-2021,,1077600,784913,545431,192304,737735,65,2
Alabama,21-02-2021,,1078800,784913,560968,214512,775480,66,2
Alabama,22-02-2021,,1082100,788613,567505,219639,787144,67,2
Alabama,23-02-2021,,1084440,837784,580477,233073,813550,68,2
Alabama,24-02-2021,,1084440,862108,580477,233073,813550,69,2
Alabama,25-02-2021,,1138650,886708,591009,247024,838033,70,2
Alabama,26-02-2021,,1170120,911884,601343,261689,863032,71,2
Alabama,27-02-2021,,1380380,946091,613097,278985,892082,72,2
Alabama,28-02-2021,,1402180,946091,628583,300548,929131,73,2
Alabama,01-03-2021,,1402280,946091,634792,305731,940523,74,3
Alabama,02-03-2021,,1402280,1000613,637989,308416,946405,75,3
Alabama,03-03-2021,,1461320,1025379,647752,322346,970098,76,3
Alabama,04-03-2021,,1469100,1053756,658906,338967,997873,77,3
Alabama,05-03-2021,,1530470,1084676,672546,357384,1029930,78,3
Alabama,06-03-2021,,1556460,1117838,687445,374826,1062271,79,3
Alaska,18-12-2020,61900,,4270,4270,,4270,80,12
Alaska,19-12-2020,61900,,4270,4270,,4270,81,12
Alaska,20-12-2020,61900,,5674,5674,,5674,82,12
Alaska,21-12-2020,61900,,7118,7118,,7118,83,12
Alaska,22-12-2020,61900,,8918,8918,,8918,84,12
Alaska,23-12-2020,61900,,11002,11002,,11002,85,12
Alaska,24-12-2020,61900,,11002,11002,,11002,86,12
Alaska,25-12-2020,61900,,11845,11845,,11845,87,12
Alaska,26-12-2020,61900,,11845,11845,,11845,88,12
Alaska,27-12-2020,61900,39725,12202,12202,,12202,89,12
Alaska,28-12-2020,61900,39725,12202,12202,,12202,90,12
Alaska,29-12-2020,61900,42600,11127,11127,,11127,91,12
Alaska,30-12-2020,61900,42600,13772,13772,,13772,92,12
Alaska,31-12-2020,61900,42600,13772,13772,,13772,93,12
Alaska,01-01-2021,61900,42600,13772,13772,,13772,94,1
Alaska,02-01-2021,114800,50400,18266,18266,0,18266,95,1
Alaska,03-01-2021,114800,50400,18266,18266,0,18266,96,1
Alaska,04-01-2021,114800,50400,18266,18266,0,18266,97,1
Alaska,05-01-2021,114800,50400,18266,18266,0,18266,98,1
Alaska,06-01-2021,114800,50400,20775,20775,0,20775,99,1
Alaska,07-01-2021,114800,50400,20775,20775,0,20775,100,1
Alaska,08-01-2021,114800,50400,25058,25058,0,25058,101,1
Alaska,09-01-2021,114800,50400,25058,25058,0,25058,102,1
Alaska,10-01-2021,114800,50400,25058,25058,0,25058,103,1
Alaska,11-01-2021,114800,50400,35005,23053,5976,29029,104,1
Alaska,12-01-2021,114800,50400,35005,23053,5976,29029,105,1
Alaska,13-01-2021,114800,50400,43348,27418,7965,35383,106,1
Alaska,14-01-2021,114800,50400,49791,28943,10424,39367,107,1
Alaska,15-01-2021,114800,50400,54946,33038,10954,43992,108,1
Alaska,16-01-2021,114800,50400,54946,33038,10954,43992,109,1
Alaska,17-01-2021,114800,50400,54946,33038,10954,43992,110,1
Alaska,18-01-2021,114800,50400,67085,43599,11743,55342,111,1
Alaska,19-01-2021,114800,50400,67085,43599,11743,55342,112,1
Alaska,20-01-2021,114800,50400,69047,44691,12178,56869,113,1
Alaska,21-01-2021,114800,50400,72662,46122,13270,59392,114,1
Alaska,22-01-2021,114800,50400,81836,52510,14663,67173,115,1
Alaska,23-01-2021,114800,50400,88331,55959,16186,72145,116,1
Alaska,24-01-2021,114800,50400,88331,55959,16186,72145,117,1
Alaska,25-01-2021,114800,50400,88331,55959,16186,72145,118,1
Alaska,26-01-2021,114800,50400,98137,62463,17837,80300,119,1
Alaska,27-01-2021,114800,50400,101585,63351,19117,82468,120,1
Alaska,28-01-2021,114800,50400,105846,63646,21100,84746,121,1
Alaska,29-01-2021,114800,50400,110400,65015,22692,87707,122,1
Alaska,30-01-2021,114800,50400,115273,66282,24495,90777,123,1
Alaska,31-01-2021,114800,50400,115273,66282,24495,90777,124,1
Alaska,01-02-2021,114800,50400,115273,90777,24495,115272,125,2
Alaska,02-02-2021,348800,50400,123448,95881,27566,123447,126,2
Alaska,03-02-2021,348800,50400,125770,96858,28911,125769,127,2
Alaska,04-02-2021,348800,50400,129940,98265,31675,129940,128,2
Alaska,05-02-2021,348800,50400,134006,98265,34192,132457,129,2
Alaska,06-02-2021,348800,50400,139151,101225,37520,138745,130,2
Alaska,07-02-2021,348800,50400,139151,103163,37520,140683,131,2
