State,Administered,Percentage ,id,Popu,Whiteper,Blackper,Hispanicper,Asianper,American Indian_AlaskaNativeper,Native Hawaiian_Pacific Islanderper,Otherper,White,Black,Hispanic,Asian,American Indian_AlaskaNative,Native Hawaiian_Pacific Islander,Other,WhiteD1per,BlackD1per,HispanicD1per,AsianD1per,American Indian_AlaskaNativeD1per,Native Hawaiian_Pacific IslanderD1per,OtherD1per,WhiteD1,BlackD1,HispanicD1,AsianD1,American Indian_AlaskaNativeD1,Native Hawaiian_Pacific IslanderD1,OtherD1,WhiteD2per,BlackD2per,HispanicD2per,AsianD2per,American Indian_AlaskaNativeD2per,Native Hawaiian_Pacific IslanderD2per,OtherD2per,WhiteD2,BlackD2,HispanicD2,AsianD2,American Indian_AlaskaNativeD2,Native Hawaiian_Pacific IslanderD2,OtherD2
Alabama,672038,13.70615223,1,4903185,0.79,0.19,0.082609858,0.02,0.01,0.01,0.01,530910.02,127687.22,55516.9638,13440.76,6720.38,6720.38,6720.38,0.69,0.66,0.67,0.68,0.69,0.66,0.67,366327.9138,84273.5652,37196.36575,9139.7168,4637.0622,4435.4508,4502.6546,0.31,0.34,0.33,0.32,0.31,0.34,0.33,164582.1062,43413.6548,18320.59805,4301.0432,2083.3178,2284.9292,2217.7254
Alaska,199151,27.22334238,2,731545,0.32,0.01,0.03,0.03,0.33,0.01,0.3,63728.32,1991.51,5974.53,5974.53,65719.83,1991.51,59745.3,0.69,0.66,0.67,0.68,0.69,0.66,0.67,43972.5408,1314.3966,4002.9351,4062.6804,45346.6827,1314.3966,40029.351,0.31,0.34,0.33,0.32,0.31,0.34,0.33,19755.7792,677.1134,1971.5949,1911.8496,20373.1473,677.1134,19715.949
Arizona,1202770,16.52447815,4,7278717,0.76,0.02,0.13,0.04,0.05,0.01,0.131396347,914105.2,24055.4,156360.1,48110.8,60138.5,12027.7,158039.5848,0.69,0.66,0.67,0.68,0.69,0.66,0.67,630732.588,15876.564,104761.267,32715.344,41495.565,7938.282,105886.5218,0.31,0.34,0.33,0.32,0.31,0.34,0.33,283372.612,8178.836,51598.833,15395.456,18642.935,4089.418,52153.06298
Arkansas,490737,16.26139405,5,3017804,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,320767.5926,31726.69275,40539.71392,23392.10368,8543.995908,12858.51642,64481.04933,0.69,0.66,0.67,0.68,0.69,0.66,0.67,221329.6389,20939.61722,27161.60833,15906.6305,5895.357177,8486.620837,43202.30305,0.31,0.34,0.33,0.32,0.31,0.34,0.33,99437.95371,10787.07554,13378.10559,7485.473178,2648.638731,4371.895583,21278.74628
California,6496140,16.44083655,6,39512223,0.36,0.03,0.19,0.14,0.01,0.01,0.27,2338610.4,194884.2,1234266.6,909459.6,64961.4,64961.4,1753957.8,0.69,0.66,0.67,0.68,0.69,0.66,0.67,1613641.176,128623.572,826958.622,618432.528,44823.366,42874.524,1175151.726,0.31,0.34,0.33,0.32,0.31,0.34,0.33,724969.224,66260.628,407307.978,291027.072,20138.034,22086.876,578806.074
Colorado,1053041,18.28597456,8,5758736,0.87,0.03,0.06,0.02,0.01,0.01,0.02,916145.67,31591.23,63182.46,21060.82,10530.41,10530.41,21060.82,0.69,0.66,0.67,0.68,0.69,0.66,0.67,632140.5123,20850.2118,42332.2482,14321.3576,7265.9829,6950.0706,14110.7494,0.31,0.34,0.33,0.32,0.31,0.34,0.33,284005.1577,10741.0182,20850.2118,6739.4624,3264.4271,3580.3394,6950.0706
Connecticut,767183,21.51812743,9,3565287,0.66,0.04,0.06,0.02,0.01,0.02620246,0.22,506340.78,30687.32,46030.98,15343.66,7671.83,20102.08156,168780.26,0.69,0.66,0.67,0.68,0.69,0.66,0.67,349375.1382,20253.6312,30840.7566,10433.6888,5293.5627,13267.37383,113082.7742,0.31,0.34,0.33,0.32,0.31,0.34,0.33,156965.6418,10433.6888,15190.2234,4909.9712,2378.2673,6834.70773,55697.4858
Delaware,159845,16.41516836,10,973764,0.72,0.1,0.03,0.03,0.017410539,0.02620246,0.12,115088.4,15984.5,4795.35,4795.35,2782.987682,4188.332155,19181.4,0.69,0.66,0.67,0.68,0.69,0.66,0.67,79410.996,10549.77,3212.8845,3260.838,1920.261501,2764.299222,12851.538,0.31,0.34,0.33,0.32,0.31,0.34,0.33,35677.404,5434.73,1582.4655,1534.512,862.7261814,1424.032933,6329.862
District of Columbia,130437,18.48206657,11,705749,0.33,0.26,0.08,0.047667292,0.017410539,0.02620246,0.42,43044.21,33913.62,10434.96,6217.578514,2270.978537,3417.770223,54783.54,0.69,0.66,0.67,0.68,0.69,0.66,0.67,29700.5049,22382.9892,6991.4232,4227.95339,1566.975191,2255.728347,36704.9718,0.31,0.34,0.33,0.32,0.31,0.34,0.33,13343.7051,11530.6308,3443.5368,1989.625124,704.0033465,1162.041876,18078.5682
Florida,3819224,17.78224587,12,21477737,0.8,0.07,0.17,0.047667292,0.01,0.02620246,0.13,3055379.2,267345.68,649268.08,182052.0641,38192.24,100073.0626,496499.12,0.69,0.66,0.67,0.68,0.69,0.66,0.67,2108211.648,176448.1488,435009.6136,123795.4036,26352.6456,66048.22132,332654.4104,0.31,0.34,0.33,0.32,0.31,0.34,0.33,947167.552,90897.5312,214258.4664,58256.66051,11839.5944,34024.84128,163844.7096
