Date,State,Doses_Distributed,Doses_Administered,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,id,,,,,,,,,,,,,,,,,,,
30-12-2020,Alabama,124275,26409,,,,1,,,,,,,,,,,,,,,,,,,
02-01-2021,Alabama,124275,39446,,,,2,,,,,,,,,,,,,,,,,,,
04-01-2021,Alabama,159325,39564,,,,3,,,,,,,,,,,,,,,,,,,
05-01-2021,Alabama,172000,40278,,,,4,,,,,,,,,,,,,,,,,,,
06-01-2021,Alabama,183900,43280,,,,5,,,,,,,,,,,,,,,,,,,
07-01-2021,Alabama,245100,48888,,,,6,,,,,,,,,,,,,,,,,,,
08-01-2021,Alabama,283200,57105,,,,7,,,,,,,,,,,,,,,,,,,
11-01-2021,Alabama,326850,76528,,,,8,,,,,,,,,,,,,,,,,,,
12-01-2021,Alabama,377025,78134,70861,7270,3,9,,,,,,,,,,,,,,,,,,,
13-01-2021,Alabama,378975,84040,74792,9245,3,10,,,,,,,,,,,,,,,,,,,
14-01-2021,Alabama,435350,92300,80480,11699,,11,,,,,,,,,,,,,,,,,,,
15-01-2021,Alabama,444650,100567,86956,13488,,12,,,,,,,,,,,,,,,,,,,
19-01-2021,Alabama,444650,130795,114319,16346,,13,,,,,,,,,,,,,,,,,,,
20-01-2021,Alabama,483275,139200,121113,17956,,14,,,,,,,,,,,,,,,,,,,
21-01-2021,Alabama,493125,165919,144429,21345,,15,,,,,,,,,,,,,,,,,,,
22-01-2021,Alabama,519525,199314,174317,24840,,16,,,,,,,,,,,,,,,,,,,
23-01-2021,Alabama,521225,221540,193955,27422,,17,,,,,,,,,,,,,,,,,,,
24-01-2021,Alabama,521225,243737,213833,29736,,18,,,,,,,,,,,,,,,,,,,
25-01-2021,Alabama,521225,250612,220464,29978,,19,,,,,,,,,,,,,,,,,,,
26-01-2021,Alabama,569000,254959,223854,30933,,20,,,,,,,,,,,,,,,,,,,
27-01-2021,Alabama,634000,266444,232633,33595,,21,,,,,,,,,,,,,,,,,,,
28-01-2021,Alabama,655275,278993,241337,37431,,22,,,,,,,,,,,,,,,,,,,
29-01-2021,Alabama,659400,300915,256601,44073,,23,,,,,,,,,,,,,,,,,,,
30-01-2021,Alabama,659400,342436,288368,53742,,24,,,,,,,,,,,,,,,,,,,
31-01-2021,Alabama,659400,353974,298301,55331,,25,,,,,,,,,,,,,,,,,,,
01-02-2021,Alabama,659400,358280,301628,56308,,26,,,,,,,,,,,,,,,,,,,
02-02-2021,Alabama,680550,371882,312711,58825,,27,,,,,,,,,,,,,,,,,,,
03-02-2021,Alabama,765150,388339,324998,62990,,28,,,,,,,,,,,,,,,,,,,
04-02-2021,Alabama,799675,408428,338845,69155,,29,,,,,,,,,,,,,,,,,,,
05-02-2021,Alabama,799875,430597,353522,76603,,30,,,,,,,,,,,,,,,,,,,
06-02-2021,Alabama,804100,455173,370275,84278,,31,,,,,,,,,,,,,,,,,,,
07-02-2021,Alabama,804100,462332,375567,86141,,32,,,,,,,,,,,,,,,,,,,
08-02-2021,Alabama,804100,467636,378514,88453,,33,,,,,,,,,,,,,,,,,,,
09-02-2021,Alabama,823600,490969,395196,95033,,34,,,,,,,,,,,,,,,,,,,
10-02-2021,Alabama,861175,515802,412462,102520,,35,,,,,,,,,,,,,,,,,,,
11-02-2021,Alabama,911875,543237,431259,111036,,36,,,,,,,,,,,,,,,,,,,
12-02-2021,Alabama,936200,571115,448071,122019,,37,,,,,,,,,,,,,,,,,,,
13-02-2021,Alabama,963600,601159,467032,133029,,38,,,,,,,,,,,,,,,,,,,
14-02-2021,Alabama,965550,612254,474065,137032,,39,,,,,,,,,,,,,,,,,,,
16-02-2021,Alabama,1015775,636682,486206,149288,,40,,,,,,,,,,,,,,,,,,,
17-02-2021,Alabama,1032175,650020,494424,154341,,41,,,,,,,,,,,,,,,,,,,
18-02-2021,Alabama,1032175,672038,505660,165104,,42,,,,,,,,,,,,,,,,,,,
19-02-2021,Alabama,1077600,739132,545431,192304,,43,,,,,,,,,,,,,,,,,,,
20-02-2021,Alabama,1078800,776936,560968,214512,,44,,,,,,,,,,,,,,,,,,,
21-02-2021,Alabama,1082100,788613,567505,219639,,45,,,,,,,,,,,,,,,,,,,
22-02-2021,Alabama,1082100,793614,570355,221785,,46,,,,,,,,,,,,,,,,,,,152821
23-02-2021,Alabama,1084440,815108,580477,233073,,47,,,,,,,,,,,,,,,,,,,153859
24-02-2021,Alabama,1138650,839703,591009,247024,,48,,,,,,,,,,,,,,,,,,,155484
25-02-2021,Alabama,1170120,864757,601343,261689,,49,,,,,,,,,,,,,,,,,,,157991
26-02-2021,Alabama,1380380,893859,613097,278985,,50,,,,,,,,,,,,,,,,,,,160732
27-02-2021,Alabama,1402180,931090,628583,300548,,51,,,,,,,,,,,,,,,,,,,162874
28-02-2021,Alabama,1402280,942502,634792,305731,,52,,,,,,,,,,,,,,,,,,,165852
01-03-2021,Alabama,1402280,948393,637989,308416,,53,,,,,,,,,,,,,,,,,,,167175
02-03-2021,Alabama,1461320,972161,647752,322346,,54,,,,,,,,,,,,,,,,,,,167751
03-03-2021,Alabama,1469100,1000031,658906,338967,,55,,,,,,,,,,,,,,,,,,,169678
04-03-2021,Alabama,1530470,1032171,672546,357384,,56,,,,,,,,,,,,,,,,,,,171492
05-03-2021,Alabama,1556460,1064578,687445,374826,,57,,,,,,,,,,,,,,,,,,,173641
06-03-2021,Alabama,1628350,1099697,703725,393619,,58,,,,,,,,,,,,,,,,,,,177272
07-03-2021,Alabama,1628350,1110132,709736,398035,,59,,,,,,,,,,,,,,,,,,,179957
30-12-2020,Alaska,49425,12799,,,,60,,,,,,,,,,,,,,,,,,,
02-01-2021,Alaska,68925,18401,,,,61,,,,,,,,,,,,,,,,,,,
04-01-2021,Alaska,74925,18937,,,,62,,,,,,,,,,,,,,,,,,,
05-01-2021,Alaska,76200,19050,,,,63,,,,,,,,,,,,,,,,,,,
06-01-2021,Alaska,80300,20106,,,,64,,,,,,,,,,,,,,,,,,,
07-01-2021,Alaska,87325,21830,,,,65,,,,,,,,,,,,,,,,,,,
08-01-2021,Alaska,93175,24562,,,,66,,,,,,,,,,,,,,,,,,,
11-01-2021,Alaska,132350,35027,,,,67,,,,,,,,,,,,,,,,,,,
12-01-2021,Alaska,141600,35838,22486,5400,7952,68,,,,,,,,,,,,,,,,,,,
13-01-2021,Alaska,149475,38680,24541,6166,7973,69,,,,,,,,,,,,,,,,,,,
14-01-2021,Alaska,150450,42596,35508,7013,,70,,,,,,,,,,,,,,,,,,,
15-01-2021,Alaska,150450,49039,39546,9406,,71,,,,,,,,,,,,,,,,,,,
19-01-2021,Alaska,150450,66331,55434,10802,,72,,,,,,,,,,,,,,,,,,,
20-01-2021,Alaska,150350,68293,56911,11283,,73,,,,,,,,,,,,,,,,,,,
21-01-2021,Alaska,154325,71907,59449,12352,,74,,,,,,,,,,,,,,,,,,,
22-01-2021,Alaska,155500,81096,67262,13718,,75,,,,,,,,,,,,,,,,,,,
23-01-2021,Alaska,155700,88344,73014,15206,,76,,,,,,,,,,,,,,,,,,,
24-01-2021,Alaska,155700,94257,77925,16201,,77,,,,,,,,,,,,,,,,,,,
25-01-2021,Alaska,155700,97031,80226,16673,,78,,,,,,,,,,,,,,,,,,,
26-01-2021,Alaska,162925,98149,81200,16815,,79,,,,,,,,,,,,,,,,,,,
27-01-2021,Alaska,170575,101597,83363,18097,,80,,,,,,,,,,,,,,,,,,,
28-01-2021,Alaska,178075,105858,85672,20045,,81,,,,,,,,,,,,,,,,,,,
29-01-2021,Alaska,192350,110396,88654,21593,,82,,,,,,,,,,,,,,,,,,,
30-01-2021,Alaska,193150,115268,91794,23320,,83,,,,,,,,,,,,,,,,,,,
31-01-2021,Alaska,193150,119590,94889,24545,,84,,,,,,,,,,,,,,,,,,,
01-02-2021,Alaska,193150,122020,96396,25467,,85,,,,,,,,,,,,,,,,,,,
02-02-2021,Alaska,196975,123443,97076,26207,,86,,,,,,,,,,,,,,,,,,,
03-02-2021,Alaska,229975,125765,98076,27528,,87,,,,,,,,,,,,,,,,,,,
04-02-2021,Alaska,240325,129936,99596,30172,,88,,,,,,,,,,,,,,,,,,,
05-02-2021,Alaska,245700,134002,101225,32593,,89,,,,,,,,,,,,,,,,,,,
06-02-2021,Alaska,248500,139147,103163,35773,,90,,,,,,,,,,,,,,,,,,,
07-02-2021,Alaska,248500,146082,106311,39541,,91,,,,,,,,,,,,,,,,,,,
08-02-2021,Alaska,248500,150934,109890,40812,,92,,,,,,,,,,,,,,,,,,,
09-02-2021,Alaska,256900,152874,110936,41698,,93,,,,,,,,,,,,,,,,,,,
10-02-2021,Alaska,260300,156255,112448,43552,,94,,,,,,,,,,,,,,,,,,,
11-02-2021,Alaska,270250,162273,116001,46006,,95,,,,,,,,,,,,,,,,,,,
12-02-2021,Alaska,271350,167436,118189,48969,,96,,,,,,,,,,,,,,,,,,,
13-02-2021,Alaska,271550,175138,122463,52380,,97,,,,,,,,,,,,,,,,,,,
14-02-2021,Alaska,271550,183831,126381,57117,,98,,,,,,,,,,,,,,,,,,,
16-02-2021,Alaska,271550,191008,129658,60964,,99,,,,,,,,,,,,,,,,,,,
17-02-2021,Alaska,271550,193617,130751,62474,,100,,,,,,,,,,,,,,,,,,,
18-02-2021,Alaska,271550,199151,133491,65245,,101,,,,,,,,,,,,,,,,,,,
19-02-2021,Alaska,299935,216223,143887,71892,,102,,,,,,,,,,,,,,,,,,,
20-02-2021,Alaska,299935,227403,148299,78623,,103,,,,,,,,,,,,,,,,,,,
21-02-2021,Alaska,299935,235141,152349,82272,,104,,,,,,,,,,,,,,,,,,,
22-02-2021,Alaska,299935,238279,153349,84385,,105,,,,,,,,,,,,,,,,,,,583544
23-02-2021,Alaska,304875,239927,154392,84984,,106,,,,,,,,,,,,,,,,,,,593734
24-02-2021,Alaska,315765,243650,156027,87061,,107,,,,,,,,,,,,,,,,,,,604396
25-02-2021,Alaska,319265,249559,158560,90416,,108,,,,,,,,,,,,,,,,,,,614886
26-02-2021,Alaska,332415,254334,161333,92407,,109,,,,,,,,,,,,,,,,,,,626848
27-02-2021,Alaska,342535,259538,163443,95485,,110,,,,,,,,,,,,,,,,,,,642987
28-02-2021,Alaska,342535,264741,166432,97692,,111,,,,,,,,,,,,,,,,,,,649521
01-03-2021,Alaska,342535,268406,167759,100024,,112,,,,,,,,,,,,,,,,,,,653079
02-03-2021,Alaska,372725,269941,168315,101000,,113,,,,,,,,,,,,,,,,,,,662950
03-03-2021,Alaska,399225,273350,170243,102472,,114,,,,,,,,,,,,,,,,,,,674569
04-03-2021,Alaska,409125,276891,172050,104193,,115,,,,,,,,,,,,,,,,,,,688542
05-03-2021,Alaska,421375,281467,174208,106597,,116,,,,,,,,,,,,,,,,,,,703919
06-03-2021,Alaska,426715,288625,177865,110078,,117,,,,,,,,,,,,,,,,,,,720846
07-03-2021,Alaska,426715,295046,180563,113792,,118,,,,,,,,,,,,,,,,,,,727410
30-12-2020,Arizona,270250,36901,,,,119,,,,,,,,,,,,,,,,,,,
02-01-2021,Arizona,270250,59099,,,,120,,,,,,,,,,,,,,,,,,,
04-01-2021,Arizona,411025,66059,,,,121,,,,,,,,,,,,,,,,,,,
05-01-2021,Arizona,419175,68707,,,,122,,,,,,,,,,,,,,,,,,,
06-01-2021,Arizona,419175,75683,,,,123,,,,,,,,,,,,,,,,,,,
07-01-2021,Arizona,453275,88266,,,,124,,,,,,,,,,,,,,,,,,,
08-01-2021,Arizona,453875,106288,,,,125,,,,,,,,,,,,,,,,,,,
11-01-2021,Arizona,563025,137860,,,,126,,,,,,,,,,,,,,,,,,,
12-01-2021,Arizona,563025,141355,95141,8343,37871,127,,,,,,,,,,,,,,,,,,,
13-01-2021,Arizona,569525,154745,104387,12392,37966,128,,,,,,,,,,,,,,,,,,,
14-01-2021,Arizona,570625,173665,157397,16234,,129,,,,,,,,,,,,,,,,,,,
15-01-2021,Arizona,571725,197086,176213,20837,,130,,,,,,,,,,,,,,,,,,,
19-01-2021,Arizona,571725,266276,235331,30892,,131,,,,,,,,,,,,,,,,,,,
20-01-2021,Arizona,752250,281887,246960,34788,,132,,,,,,,,,,,,,,,,,,,
21-01-2021,Arizona,797550,303899,262120,41613,,133,,,,,,,,,,,,,,,,,,,
22-01-2021,Arizona,822050,329349,280227,48938,,134,,,,,,,,,,,,,,,,,,,
23-01-2021,Arizona,829500,360958,305744,55014,,135,,,,,,,,,,,,,,,,,,,
24-01-2021,Arizona,829500,390623,332095,58291,,136,,,,,,,,,,,,,,,,,,,
25-01-2021,Arizona,829500,413662,350648,62711,,137,,,,,,,,,,,,,,,,,,,
26-01-2021,Arizona,837200,430892,366018,64551,,138,,,,,,,,,,,,,,,,,,,
27-01-2021,Arizona,990000,458258,389059,68846,,139,,,,,,,,,,,,,,,,,,,
28-01-2021,Arizona,1011375,487149,412841,73927,,140,,,,,,,,,,,,,,,,,,,
29-01-2021,Arizona,1012275,521097,439897,80773,,141,,,,,,,,,,,,,,,,,,,
30-01-2021,Arizona,1013375,557369,469916,86990,,142,,,,,,,,,,,,,,,,,,,
31-01-2021,Arizona,1013375,594104,500942,92666,,143,,,,,,,,,,,,,,,,,,,
01-02-2021,Arizona,1013375,620608,524413,95671,,144,,,,,,,,,,,,,,,,,,,
02-02-2021,Arizona,1082050,631662,534476,96660,,145,,,,,,,,,,,,,,,,,,,
03-02-2021,Arizona,1181000,656040,553373,102107,,146,,,,,,,,,,,,,,,,,,,
04-02-2021,Arizona,1185700,686116,573845,111645,,147,,,,,,,,,,,,,,,,,,,
05-02-2021,Arizona,1186000,719458,597525,121227,,148,,,,,,,,,,,,,,,,,,,
06-02-2021,Arizona,1186000,766788,629750,136236,,149,,,,,,,,,,,,,,,,,,,
07-02-2021,Arizona,1186000,809230,656909,151392,,150,,,,,,,,,,,,,,,,,,,
08-02-2021,Arizona,1186000,841018,678697,161324,,151,,,,,,,,,,,,,,,,,,,
09-02-2021,Arizona,1265950,863807,695970,166798,,152,,,,,,,,,,,,,,,,,,,
10-02-2021,Arizona,1370175,897757,719051,177565,,153,,,,,,,,,,,,,,,,,,,
11-02-2021,Arizona,1391475,941575,747599,192542,,154,,,,,,,,,,,,,,,,,,,
12-02-2021,Arizona,1393475,990296,780057,207912,,155,,,,,,,,,,,,,,,,,,,
13-02-2021,Arizona,1393475,1041021,811080,226158,,156,,,,,,,,,,,,,,,,,,,
14-02-2021,Arizona,1393575,1089155,840252,244971,,157,,,,,,,,,,,,,,,,,,,
16-02-2021,Arizona,1396475,1154583,886107,264416,,158,,,,,,,,,,,,,,,,,,,
17-02-2021,Arizona,1396475,1164900,892791,267967,,159,,,,,,,,,,,,,,,,,,,
18-02-2021,Arizona,1396475,1202770,914468,283955,,160,,,,,,,,,,,,,,,,,,,
19-02-2021,Arizona,1679175,1376405,1036237,335248,,161,,,,,,,,,,,,,,,,,,,
20-02-2021,Arizona,1688255,1425295,1064109,356055,,162,,,,,,,,,,,,,,,,,,,
21-02-2021,Arizona,1688255,1469676,1087921,376371,,163,,,,,,,,,,,,,,,,,,,
22-02-2021,Arizona,1688255,1506572,1108935,392139,,164,,,,,,,,,,,,,,,,,,,10916
23-02-2021,Arizona,1755635,1525794,1121773,398472,,165,,,,,,,,,,,,,,,,,,,10916
24-02-2021,Arizona,1977925,1555942,1137371,412825,,166,,,,,,,,,,,,,,,,,,,11646
25-02-2021,Arizona,2064265,1607544,1163157,438355,,167,,,,,,,,,,,,,,,,,,,11646
26-02-2021,Arizona,2143135,1671294,1196045,468913,,168,,,,,,,,,,,,,,,,,,,12169
27-02-2021,Arizona,2148015,1728239,1223520,498106,,169,,,,,,,,,,,,,,,,,,,12172
28-02-2021,Arizona,2148015,1792447,1250251,535189,,170,,,,,,,,,,,,,,,,,,,12173
01-03-2021,Arizona,2148015,1849259,1275068,566500,,171,,,,,,,,,,,,,,,,,,,12173
02-03-2021,Arizona,2244885,1889742,1293835,587451,,172,,,,,,,,,,,,,,,,,,,12831
03-03-2021,Arizona,2392275,1930999,1308334,613681,,173,,,,,,,,,,,,,,,,,,,12832
04-03-2021,Arizona,2453985,1979929,1329996,640078,,174,,,,,,,,,,,,,,,,,,,13257
05-03-2021,Arizona,2598435,2038623,1356443,671617,,175,,,,,,,,,,,,,,,,,,,13258
06-03-2021,Arizona,2623735,2043739,1358649,674523,,176,,,,,,,,,,,,,,,,,,,13258
07-03-2021,Arizona,2623735,2162602,1421436,729803,,177,,,,,,,,,,,,,,,,,,,13259
30-12-2020,Arkansas,124325,30469,,,,178,,,,,,,,,,,,,,,,,,,
02-01-2021,Arkansas,124325,39235,,,,179,,,,,,,,,,,,,,,,,,,
04-01-2021,Arkansas,139400,40899,,,,180,,,,,,,,,,,,,,,,,,,
05-01-2021,Arkansas,152175,40899,,,,181,,,,,,,,,,,,,,,,,,,
06-01-2021,Arkansas,170700,40899,,,,182,,,,,,,,,,,,,,,,,,,
07-01-2021,Arkansas,212700,40899,,,,183,,,,,,,,,,,,,,,,,,,
08-01-2021,Arkansas,225100,40899,,,,184,,,,,,,,,,,,,,,,,,,
11-01-2021,Arkansas,250200,40879,,,,185,,,,,,,,,,,,,,,,,,,
12-01-2021,Arkansas,274400,40879,39357,8,1514,186,,,,,,,,,,,,,,,,,,,
13-01-2021,Arkansas,297800,94854,80458,12849,1547,187,,,,,,,,,,,,,,,,,,,
14-01-2021,Arkansas,297800,108316,90339,16711,,188,,,,,,,,,,,,,,,,,,,
15-01-2021,Arkansas,297800,118338,97829,18781,,189,,,,,,,,,,,,,,,,,,,
19-01-2021,Arkansas,297800,142337,118763,21734,,190,,,,,,,,,,,,,,,,,,,
20-01-2021,Arkansas,334825,173312,144792,26541,,191,,,,,,,,,,,,,,,,,,,
21-01-2021,Arkansas,361550,173312,144792,26541,,192,,,,,,,,,,,,,,,,,,,
22-01-2021,Arkansas,362050,201676,167788,31600,,193,,,,,,,,,,,,,,,,,,,
23-01-2021,Arkansas,368650,201676,167788,31600,,194,,,,,,,,,,,,,,,,,,,
24-01-2021,Arkansas,368650,214240,179290,32572,,195,,,,,,,,,,,,,,,,,,,
25-01-2021,Arkansas,368650,221095,185546,33159,,196,,,,,,,,,,,,,,,,,,,
26-01-2021,Arkansas,394775,236290,196815,37055,,197,,,,,,,,,,,,,,,,,,,
27-01-2021,Arkansas,406175,252824,209445,40910,,198,,,,,,,,,,,,,,,,,,,
28-01-2021,Arkansas,453300,252824,209445,40910,,199,,,,,,,,,,,,,,,,,,,
29-01-2021,Arkansas,453500,269993,221552,45918,,200,,,,,,,,,,,,,,,,,,,
30-01-2021,Arkansas,453700,288651,233935,52118,,201,,,,,,,,,,,,,,,,,,,
31-01-2021,Arkansas,453700,303793,244867,56264,,202,,,,,,,,,,,,,,,,,,,
01-02-2021,Arkansas,453700,311230,249943,58613,,203,,,,,,,,,,,,,,,,,,,
02-02-2021,Arkansas,467800,314470,251841,59903,,204,,,,,,,,,,,,,,,,,,,
03-02-2021,Arkansas,499325,322447,256307,63356,,205,,,,,,,,,,,,,,,,,,,
04-02-2021,Arkansas,516925,338227,266563,68778,,206,,,,,,,,,,,,,,,,,,,
05-02-2021,Arkansas,535550,351175,274459,73810,,207,,,,,,,,,,,,,,,,,,,
06-02-2021,Arkansas,540050,374674,290153,81564,,208,,,,,,,,,,,,,,,,,,,
07-02-2021,Arkansas,540050,393445,300139,90308,,209,,,,,,,,,,,,,,,,,,,
08-02-2021,Arkansas,540050,401664,304604,94058,,210,,,,,,,,,,,,,,,,,,,
09-02-2021,Arkansas,580775,404127,305917,95202,,211,,,,,,,,,,,,,,,,,,,
10-02-2021,Arkansas,581875,418054,311339,103669,,212,,,,,,,,,,,,,,,,,,,
11-02-2021,Arkansas,593775,430803,316972,110751,,213,,,,,,,,,,,,,,,,,,,
12-02-2021,Arkansas,629900,447146,325562,118465,,214,,,,,,,,,,,,,,,,,,,
13-02-2021,Arkansas,630700,457386,330146,124040,,215,,,,,,,,,,,,,,,,,,,
14-02-2021,Arkansas,630700,472536,338611,130637,,216,,,,,,,,,,,,,,,,,,,
16-02-2021,Arkansas,631675,483438,343637,136415,,217,,,,,,,,,,,,,,,,,,,
17-02-2021,Arkansas,649225,486949,345271,138254,,218,,,,,,,,,,,,,,,,,,,
18-02-2021,Arkansas,664225,490737,346623,140662,,219,,,,,,,,,,,,,,,,,,,
19-02-2021,Arkansas,691525,517271,362972,150812,,220,,,,,,,,,,,,,,,,,,,
20-02-2021,Arkansas,691525,520904,364735,152675,,221,,,,,,,,,,,,,,,,,,,
21-02-2021,Arkansas,691525,528467,367436,157511,,222,,,,,,,,,,,,,,,,,,,
22-02-2021,Arkansas,691525,535413,370403,161470,,223,,,,,,,,,,,,,,,,,,,1082130
23-02-2021,Arkansas,794230,540192,372786,163848,,224,,,,,,,,,,,,,,,,,,,1094381
24-02-2021,Arkansas,816730,554466,378225,172653,,225,,,,,,,,,,,,,,,,,,,1109718
25-02-2021,Arkansas,826130,572553,384549,184346,,226,,,,,,,,,,,,,,,,,,,1134781
26-02-2021,Arkansas,861230,597990,394007,200253,,227,,,,,,,,,,,,,,,,,,,1166549
27-02-2021,Arkansas,892660,622665,404883,213974,,228,,,,,,,,,,,,,,,,,,,1193576
28-02-2021,Arkansas,892660,649311,418453,226968,,229,,,,,,,,,,,,,,,,,,,1219024
