id,county,STNAME,CTYNAME,POPESTIMATE2019,D1,D2,Administered,Per
1000,Alabama,Alabama,Alabama,4903185,,,,
1001,Autauga,Alabama,Autauga County,55869,,,,
1003,Baldwin,Alabama,Baldwin County,223234,,,,
1005,Barbour,Alabama,Barbour County,24686,,,,
1007,Bibb,Alabama,Bibb County,22394,,,,
1009,Blount,Alabama,Blount County,57826,,,,
1011,Bullock,Alabama,Bullock County,10101,,,,
1013,Butler,Alabama,Butler County,19448,,,,
1015,Calhoun,Alabama,Calhoun County,113605,,,,
1017,Chambers,Alabama,Chambers County,33254,,,,
1019,Cherokee,Alabama,Cherokee County,26196,,,,
1021,Chilton,Alabama,Chilton County,44428,,,,
1023,Choctaw,Alabama,Choctaw County,12589,,,,
1025,Clarke,Alabama,Clarke County,23622,,,,
1027,Clay,Alabama,Clay County,13235,,,,
1029,Cleburne,Alabama,Cleburne County,14910,,,,
1031,Coffee,Alabama,Coffee County,52342,,,,
1033,Colbert,Alabama,Colbert County,55241,,,,
1035,Conecuh,Alabama,Conecuh County,12067,,,,
1037,Coosa,Alabama,Coosa County,10663,,,,
1039,Covington,Alabama,Covington County,37049,,,,
1041,Crenshaw,Alabama,Crenshaw County,13772,,,,
1043,Cullman,Alabama,Cullman County,83768,,,,
1045,Dale,Alabama,Dale County,49172,,,,
1047,Dallas,Alabama,Dallas County,37196,,,,
1049,De Kalb,Alabama,DeKalb County,71513,,,,
1051,Elmore,Alabama,Elmore County,81209,,,,
1053,Escambia,Alabama,Escambia County,36633,,,,
1055,Etowah,Alabama,Etowah County,102268,,,,
1057,Fayette,Alabama,Fayette County,16302,,,,
1059,Franklin,Alabama,Franklin County,31362,,,,
1061,Geneva,Alabama,Geneva County,26271,,,,
1063,Greene,Alabama,Greene County,8111,,,,
1065,Hale,Alabama,Hale County,14651,,,,
1067,Henry,Alabama,Henry County,17205,,,,
1069,Houston,Alabama,Houston County,105882,,,,
1071,Jackson,Alabama,Jackson County,51626,,,,
1073,Jefferson,Alabama,Jefferson County,658573,,,,
1075,Lamar,Alabama,Lamar County,13805,,,,
1077,Lauderdale,Alabama,Lauderdale County,92729,,,,
1079,Lawrence,Alabama,Lawrence County,32924,,,,
1081,Lee,Alabama,Lee County,164542,,,,
1083,Limestone,Alabama,Limestone County,98915,,,,
1085,Lowndes,Alabama,Lowndes County,9726,,,,
1087,Macon,Alabama,Macon County,18068,,,,
1089,Madison,Alabama,Madison County,372909,,,,
1091,Marengo,Alabama,Marengo County,18863,,,,
1093,Marion,Alabama,Marion County,29709,,,,
1095,Marshall,Alabama,Marshall County,96774,,,,
1097,Mobile,Alabama,Mobile County,413210,,,,
1099,Monroe,Alabama,Monroe County,20733,,,,
1101,Montgomery,Alabama,Montgomery County,226486,,,,
1103,Morgan,Alabama,Morgan County,119679,,,,
1105,Perry,Alabama,Perry County,8923,,,,
1107,Pickens,Alabama,Pickens County,19930,,,,
1109,Pike,Alabama,Pike County,33114,,,,
1111,Randolph,Alabama,Randolph County,22722,,,,
1113,Russell,Alabama,Russell County,57961,,,,
1115,St. Clair,Alabama,St. Clair County,89512,,,,
1117,Shelby,Alabama,Shelby County,217702,,,,
1119,Sumter,Alabama,Sumter County,12427,,,,
1121,Talladega,Alabama,Talladega County,79978,,,,
1123,Tallapoosa,Alabama,Tallapoosa County,40367,,,,
1125,Tuscaloosa,Alabama,Tuscaloosa County,209355,,,,
1127,Walker,Alabama,Walker County,63521,,,,
1129,Washington,Alabama,Washington County,16326,,,,
1131,Wilcox,Alabama,Wilcox County,10373,,,,
1133,Winston,Alabama,Winston County,23629,,,,
2000,Alaska,Alaska,Alaska,731545,,,,
2013,Aleutians East,Alaska,Aleutians East Borough,3337,535,249,784,0.234941564
2016,Aleutians West,Alaska,Aleutians West Census Area,5634,785,325,1110,0.197018104
2020,Anchorage,Alaska,Anchorage Municipality,288000,59800,35977,95777,0.332559028
2050,Bethel,Alaska,Bethel Census Area,18386,6091,4090,10181,0.553736539
2060,Bristol Bay,Alaska,Bristol Bay Borough,836,300,20,320,0.2722
2068,Denali,Alaska,Denali Borough,2097,160,160,320,0.152598951
2070,Dillingham,Alaska,Dillingham Census Area,4916,1331,830,2161,0.439585028
