Date,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2
13-12-2020,11225,9935,1173,11225,9935,1173,9935,11225,1173
14-12-2020,3574,3455,4,14799,13390,1177,6695,7400,589
15-12-2020,48720,45305,21,63519,58695,1198,19565,21173,399
16-12-2020,157019,150198,183,220538,208893,1381,52223,55135,345
17-12-2020,268697,257934,468,489235,466827,1849,93366,97847,370
18-12-2020,409144,397837,502,898379,864664,2351,144111,149730,392
19-12-2020,178209,173711,669,1076588,1038375,3020,148340,153798,431
20-12-2020,101653,99557,434,1178241,1137932,3454,161142,166717,326
21-12-2020,386253,377996,680,1564494,1515928,4134,214648,221385,422
22-12-2020,455242,446084,1819,2019736,1962012,5953,271903,279459,679
23-12-2020,577228,562829,1542,2596964,2524841,7495,330850,339489,873
24-12-2020,192051,186533,869,2789015,2711374,8364,320649,328540,930
25-12-2020,11973,11890,30,2800988,2723264,8394,265515,271801,863
26-12-2020,145265,142735,296,2946253,2865999,8690,261089,267095,810
27-12-2020,99973,98031,273,3046226,2964030,8963,260871,266855,787
28-12-2020,623036,608793,2054,3669262,3572823,11017,293842,300681,983
29-12-2020,770937,749488,2606,4440199,4322311,13623,337186,345780,1095
30-12-2020,886297,863092,4996,5326496,5185403,18619,380081,389934,1589
31-12-2020,422213,411266,1532,5748709,5596669,20151,412185,422813,1684
01-01-2021,40022,38671,707,5788731,5635340,20858,416011,426820,1780
02-01-2021,289064,282066,1818,6077795,5917406,22676,435915,447363,1998
03-01-2021,156300,150003,1911,6234095,6067409,24587,443340,455409,2232
04-01-2021,698442,644647,40761,6932537,6712056,65348,448462,466183,7761
05-01-2021,867472,774705,79773,7800009,7486761,145121,452064,479973,18785
06-01-2021,1045452,868239,160282,8845461,8355000,305403,452799,502709,40969
07-01-2021,1213233,934102,260643,10058694,9289102,566046,527491,615713,77985
08-01-2021,1265523,904138,341531,11324217,10193240,907577,651128,790784,126675
09-01-2021,523174,396488,121015,11847391,10589728,1028592,667475,824228,143702
10-01-2021,264445,196594,65533,12111836,10786322,1094125,674131,839677,152791
11-01-2021,1138865,807163,314834,13250701,11593485,1408959,697347,902595,191944
12-01-2021,1321663,994637,308663,14572364,12588122,1717622,728765,967479,224643
13-01-2021,1397796,1112783,268526,15970160,13700905,1986148,763701,1017814,240106
14-01-2021,1371470,1232396,125422,17341630,14933301,2111570,806314,1040420,220789
15-01-2021,1280605,1162201,107055,18622235,16095502,2218625,843181,1042574,187293
16-01-2021,667168,593552,68983,19289403,16689054,2287608,871332,1063145,179859
17-01-2021,326926,284118,41170,19616329,16973172,2328778,883835,1072070,176379
18-01-2021,967930,720397,242345,20584259,17693569,2571123,871441,1047651,166023
19-01-2021,1429617,1048875,366405,22013876,18742444,2937528,879188,1063074,174272
20-01-2021,1698110,1257557,425621,23711986,20000001,3363149,899871,1105975,196715
21-01-2021,1661119,1394411,250115,25373105,21394412,3613264,923016,1147353,214528
22-01-2021,1638381,1438792,185279,27011486,22833204,3798543,962529,1198464,225703
23-01-2021,939248,773008,156849,27950734,23606212,3955392,988165,1237333,238255
