Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2
Admin,13-12-2020,US,10997,9707,1173,10997,9707,1173,9707,10997,1173
Admin,13-12-2020,LTC,228,228,0,228,228,0,228,228,0
Admin,14-12-2020,US,3574,3455,4,14571,13162,1177,6581,7286,589
Admin,14-12-2020,LTC,0,0,0,228,228,0,114,114,0
Admin,15-12-2020,US,48720,45305,21,63291,58467,1198,19489,21097,399
Admin,15-12-2020,LTC,0,0,0,228,228,0,76,76,0
Admin,16-12-2020,US,157019,150198,183,220310,208665,1381,52166,55078,345
Admin,16-12-2020,LTC,0,0,0,228,228,0,57,57,0
Admin,17-12-2020,US,268692,257929,468,489002,466594,1849,93319,97800,370
Admin,17-12-2020,LTC,5,5,0,233,233,0,47,47,0
Admin,18-12-2020,US,407627,396519,502,896629,863113,2351,143852,149438,392
Admin,18-12-2020,LTC,1517,1318,0,1750,1551,0,259,292,0
Admin,19-12-2020,US,177886,173388,669,1074515,1036501,3020,148072,153502,431
Admin,19-12-2020,LTC,323,323,0,2073,1874,0,268,296,0
Admin,20-12-2020,US,101442,99346,434,1175957,1135847,3454,160877,166423,326
Admin,20-12-2020,LTC,211,211,0,2284,2085,0,265,294,0
Admin,21-12-2020,US,372107,364013,680,1548064,1499860,4134,212385,219070,422
Admin,21-12-2020,LTC,14146,13983,0,16430,16068,0,2263,2315,0
Admin,22-12-2020,US,438472,429536,1810,1986536,1929396,5944,267276,274749,678
Admin,22-12-2020,LTC,16770,16548,9,33200,32616,9,4627,4710,1
Admin,23-12-2020,US,554521,542691,1529,2541057,2472087,7473,323346,331535,870
Admin,23-12-2020,LTC,22707,20138,13,55907,52754,22,7504,7954,3
Admin,24-12-2020,US,190009,184507,853,2731066,2656594,8326,312857,320295,925
Admin,24-12-2020,LTC,2042,2026,16,57949,54780,38,7792,8245,5
Admin,25-12-2020,US,11858,11775,30,2742924,2668369,8356,257894,263756,858
Admin,25-12-2020,LTC,115,115,0,58064,54895,38,7621,8045,5
Admin,26-12-2020,US,135953,133547,283,2878877,2801916,8639,252202,257766,803
Admin,26-12-2020,LTC,9312,9188,13,67376,64083,51,8887,9329,7
Admin,27-12-2020,US,91051,89233,265,2969928,2891149,8904,250757,256282,779
Admin,27-12-2020,LTC,8922,8798,8,76298,72881,59,10114,10573,8
Admin,28-12-2020,US,563945,550296,2034,3533873,3441445,10938,277369,283687,972
Admin,28-12-2020,LTC,59091,58497,20,135389,131378,79,16473,16994,11
Admin,29-12-2020,US,691818,671482,2533,4225691,4112927,13471,311933,319879,1075
Admin,29-12-2020,LTC,79119,78006,73,214508,209384,152,25253,25901,20
Admin,30-12-2020,US,809162,787038,4749,5034853,4899965,18220,346840,356257,1535
Admin,30-12-2020,LTC,77135,76054,247,291643,285438,399,33241,33677,54
Admin,31-12-2020,US,406082,395212,1462,5440935,5295177,19682,376940,387124,1622
Admin,31-12-2020,LTC,16131,16054,70,307774,301492,469,35245,35689,62
Admin,01-01-2021,US,38431,37084,703,5479366,5332261,20385,380556,390920,1718
Admin,01-01-2021,LTC,1591,1587,4,309365,303079,473,35455,35900,62
Admin,02-01-2021,US,242927,236583,1780,5722293,5568844,22165,395275,406202,1932
Admin,02-01-2021,LTC,46137,45483,38,355502,348562,511,40640,41161,66
Admin,03-01-2021,US,123924,118309,1854,5846217,5687153,24019,399429,410898,2159
Admin,03-01-2021,LTC,32376,31694,57,387878,380256,568,43911,44511,73
Admin,04-01-2021,US,613009,560088,40703,6459226,6247241,64722,400828,417908,7683
Admin,04-01-2021,LTC,85433,84559,58,473311,464815,626,47634,48275,78
Admin,05-01-2021,US,771075,678894,79670,7230301,6926135,144392,401887,429230,18703
Admin,05-01-2021,LTC,96397,95811,103,569708,560626,729,50177,50743,82
Admin,06-01-2021,US,950845,774510,160109,8181146,7700645,304501,400097,449470,40897
Admin,06-01-2021,LTC,94607,93729,173,664315,654355,902,52702,53239,72
Admin,07-01-2021,US,1090473,812507,260306,9271619,8513152,564807,459711,547241,77875
Admin,07-01-2021,LTC,122760,121595,337,787075,775950,1239,67780,68472,110
Admin,08-01-2021,US,1151922,792612,340284,10423541,9305764,905091,567643,706311,126387
Admin,08-01-2021,LTC,113601,111526,1247,900676,887476,2486,83485,84473,288
Admin,09-01-2021,US,472757,346963,120679,10896298,9652727,1025770,583412,739144,143372
Admin,09-01-2021,LTC,50417,49525,336,951093,937001,2822,84063,85084,330
Admin,10-01-2021,US,228977,161611,65250,11125275,9814338,1091020,589598,754151,152429
Admin,10-01-2021,LTC,35468,34983,283,986561,971984,3105,84533,85526,362
